,BedroomAbvGr,SalePrice
760,2,127500
761,2,100000
762,3,215200
763,3,337000
764,2,270000
765,2,264132
766,3,196500
767,4,160000
768,3,216837
769,4,538000
770,2,134900
771,2,102000
772,3,107000
773,2,114500
774,3,395000
775,2,162000
776,3,221500
777,3,142500
778,4,144000
779,2,135000
780,3,176000
781,3,175900
782,3,187100
783,1,165500
784,3,128000
785,3,161500
786,4,139000
787,4,233000
788,2,107900
789,5,187500
790,2,160200
791,3,146800
792,3,269790
793,3,225000
794,3,194500
795,3,171000
796,3,143500
797,2,110000
798,4,485000
799,3,175000
800,4,200000
801,2,109900
802,3,189000
803,4,582933
804,2,118000
805,3,227680
806,3,135500
807,3,223500
808,3,159950
809,2,106000
810,3,181000
811,1,144500
812,2,55993
813,4,157900
814,3,116000
815,3,224900
816,2,137000
817,3,271000
818,3,155000
819,2,224000
820,3,183000
821,2,93000
822,3,225000
823,3,139500
824,3,232600
825,2,385000
826,2,109500
827,3,189000
828,3,185000
829,2,147400
830,3,166000
831,2,151000
832,3,237000
833,3,167000
834,3,139950
835,2,128000
836,2,153500
837,2,100000
838,3,144000
839,3,130500
840,4,140000
841,3,157500
842,3,174900
843,6,141000
844,4,153900
845,3,171000
846,3,213000
847,3,133500
848,5,240000
849,3,187000
850,1,131500
851,2,215000
852,4,164000
853,3,158000
854,3,170000
855,3,127000
856,3,147000
857,3,174000
858,3,152000
859,4,250000
860,3,189950
861,3,131500
862,3,152000
863,3,132500
864,3,250580
865,3,148500
866,3,248900
867,3,129000
868,2,169000
869,3,236000
870,2,109500
871,3,200500
872,3,116000
873,3,133000
874,3,66500
875,4,303477
876,3,132250
877,4,350000
878,3,148000
879,3,136500
880,2,157000
881,3,187500
882,3,178000
883,5,118500
884,3,100000
885,2,328900
886,4,145000
887,3,135500
888,4,268000
889,2,149500
890,3,122900
891,3,172500
892,3,154500
893,3,165000
894,4,118858
895,4,140000
896,2,106500
897,6,142953
898,2,611657
899,3,135000
900,2,110000
901,2,153000
902,3,180000
903,3,240000
904,3,125500
905,3,128000
906,3,255000
907,3,250000
908,2,131000
909,3,174000
910,5,154300
911,3,143500
912,3,88000
913,4,145000
914,2,173733
915,3,75000
916,1,35311
917,3,135000
918,4,238000
919,3,176500
920,3,201000
921,4,145900
922,3,169990
923,2,193000
924,3,207500
925,3,175000
926,4,285000
927,4,176000
928,3,236500
929,4,222000
930,3,201000
931,2,117500
932,3,320000
933,3,190000
934,4,242000
935,1,79900
936,2,184900
937,3,253000
938,3,239799
939,4,244400
940,4,150900
941,3,214000
942,4,150000
943,4,143000
944,3,137500
945,2,124900
946,3,143000
947,3,270000
948,3,192500
949,3,197500
950,3,129000
951,3,119900
952,2,133900
953,4,172000
954,4,127500
955,4,145000
956,2,124000
957,3,132000
958,3,185000
959,3,155000
960,2,116500
961,4,272000
962,3,155000
963,2,239000
964,4,214900
965,3,178900
966,2,160000
967,3,135000
968,2,37900
969,2,140000
970,4,135000
971,2,173000
972,2,99500
973,3,182000
974,3,167500
975,3,165000
976,2,85500
977,1,199900
978,3,110000
979,3,139000
980,3,178400
981,4,336000
982,2,159895
983,4,255900
984,4,126000
985,3,125000
986,2,117000
987,3,395192
988,4,195000
989,3,197000
990,3,348000
991,4,168000
992,3,187000
993,3,173900
994,3,337500
995,3,121600
996,3,136500
997,2,185000
998,3,91000
999,2,206000
1000,2,82000
1001,2,86000
1002,3,232000
1003,4,136905
1004,1,181000
1005,3,149900
1006,3,163500
1007,3,88000
1008,3,240000
1009,4,102000
1010,4,135000
1011,4,100000
1012,3,165000
1013,2,85000
1014,2,119200
1015,3,227000
1016,3,203000
1017,1,187500
1018,3,160000
1019,2,213490
1020,2,176000
1021,2,194000
1022,2,87000
1023,2,191000
1024,2,287000
1025,3,112500
1026,3,167500
1027,3,293077
1028,3,105000
1029,3,118000
1030,5,160000
1031,5,197000
1032,5,310000
1033,3,230000
1034,2,119750
1035,3,84000
1036,2,315500
1037,3,287000
1038,3,97000
1039,1,80000
1040,3,155000
1041,4,173000
1042,1,196000
1043,4,262280
1044,4,278000
1045,4,139600
1046,4,556581
1047,3,145000
1048,3,115000
1049,2,84900
1050,3,176485
1051,3,200141
1052,4,165000
1053,4,144500
1054,3,255000
1055,3,180000
1056,2,185850
1057,3,248000
1058,3,335000
1059,3,220000
1060,2,213500
1061,2,81000
1062,5,90000
1063,2,110500
1064,3,154000
1065,3,328000
1066,3,178000
1067,4,167900
1068,5,151400
1069,2,135000
1070,3,135000
1071,4,154000
1072,4,91500
1073,3,159500
1074,2,194000
1075,3,219500
1076,3,170000
1077,3,138800
1078,1,155900
1079,3,126000
1080,3,145000
1081,3,133000
1082,3,192000
1083,3,160000
1084,3,187500
1085,2,147000
1086,3,83500
1087,3,252000
1088,3,137500
1089,1,197000
1090,2,92900
1091,2,160000
1092,4,136500
1093,1,146000
1094,2,129000
1095,3,176432
1096,3,127000
1097,2,170000
1098,3,128000
1099,3,157000
1100,1,60000
1101,3,119500
1102,2,135000
1103,3,159500
1104,3,106000
1105,3,325000
1106,3,179900
1107,3,274725
1108,3,181000
1109,3,280000
1110,3,188000
1111,4,205000
1112,2,129900
1113,2,134500
1114,2,117000
1115,3,318000
1116,3,184100
1117,3,130000
1118,3,140000
1119,3,133700
1120,2,118400
1121,3,212900
1122,3,112000
1123,2,118000
1124,3,163900
1125,2,115000
1126,2,174000
1127,3,259000
1128,4,215000
1129,2,140000
1130,4,135000
1131,3,93500
1132,5,117500
1133,3,239500
1134,3,169000
1135,2,102000
1136,3,119000
1137,2,94000
1138,2,196000
1139,3,144000
1140,2,139000
1141,4,197500
1142,4,424870
1143,3,80000
1144,2,80000
1145,3,149000
1146,3,180000
1147,3,174500
1148,2,116900
1149,3,143000
1150,2,124000
1151,3,149900
1152,2,230000
1153,2,120500
1154,4,201800
1155,3,218000
1156,3,179900
1157,2,230000
1158,3,235128
1159,4,185000
1160,3,146000
1161,3,224000
1162,3,129000
1163,0,108959
1164,2,194000
1165,3,233170
1166,3,245350
1167,3,173000
1168,4,235000
1169,4,625000
1170,3,171000
1171,3,163000
1172,2,171900
1173,3,200500
1174,4,239000
1175,4,285000
1176,3,119500
1177,3,115000
1178,3,154900
1179,3,93000
1180,4,250000
1181,2,392500
1182,4,745000
1183,2,120000
1184,3,186700
1185,4,104900
1186,3,95000
1187,2,262000
1188,3,195000
1189,3,189000
1190,3,168000
1191,2,174000
1192,3,125000
1193,2,165000
1194,4,158000
1195,3,176000
1196,4,219210
1197,3,144000
1198,3,178000
1199,3,148000
1200,3,116050
1201,3,197900
1202,3,117000
1203,3,213000
1204,3,153500
1205,3,271900
1206,2,107000
1207,3,200000
1208,3,140000
1209,3,290000
1210,3,189000
1211,4,164000
1212,2,113000
1213,0,145000
1214,3,134500
1215,3,125000
1216,4,112000
1217,3,229456
1218,2,80500
1219,3,91500
1220,2,115000
1221,3,134000
1222,3,143000
1223,4,137900
1224,3,184000
1225,3,145000
1226,4,214000
1227,2,147000
1228,1,367294
1229,4,127000
1230,4,190000
1231,3,132500
1232,2,101800
1233,3,142000
1234,4,130000
1235,4,138887
1236,2,175500
1237,4,195000
1238,3,142500
1239,2,265900
1240,3,224900
1241,3,248328
1242,3,170000
1243,2,465000
1244,3,230000
1245,3,178000
1246,3,186500
1247,3,169900
1248,3,129500
1249,3,119000
1250,3,244000
1251,2,171750
1252,3,130000
1253,3,294000
1254,3,165400
1255,3,127500
1256,2,301500
1257,2,99900
1258,2,190000
1259,3,151000
1260,3,181000
1261,2,128900
1262,5,161500
1263,3,180500
1264,2,181000
1265,3,183900
1266,4,122000
1267,3,378500
1268,4,381000
1269,3,144000
1270,0,260000
1271,3,185750
1272,3,137000
1273,2,177000
1274,3,139000
1275,4,137000
1276,3,162000
1277,3,197900
1278,3,237000
1279,2,68400
1280,3,227000
1281,2,180000
1282,3,150500
1283,4,139000
1284,4,169000
1285,4,132500
1286,3,143000
1287,4,190000
1288,2,278000
1289,3,281000
1290,3,180500
1291,3,119500
1292,4,107500
1293,4,162900
1294,2,115000
1295,3,138500
1296,3,155000
1297,2,140000
1298,3,160000
1299,3,154000
1300,3,225000
1301,3,177500
1302,4,290000
1303,3,232000
1304,3,130000
1305,2,325000
1306,2,202500
1307,3,138000
1308,2,147000
1309,3,179200
1310,3,335000
1311,3,203000
1312,4,302000
1313,4,333168
1314,3,119000
1315,4,206900
1316,3,295493
1317,2,208900
1318,3,275000
1319,3,111000
1320,3,156500
1321,2,72500
1322,3,190000
1323,2,82500
1324,2,147000
1325,2,55000
1326,3,79000
1327,3,130500
1328,5,256000
1329,3,176500
1330,3,227000
1331,3,132500
1332,2,100000
1333,2,125500
1334,3,125000
1335,2,167900
1336,4,135000
1337,2,52500
1338,3,200000
1339,3,128500
1340,3,123000
1341,3,155000
1342,3,228500
1343,3,177000
1344,3,155835
1345,2,108500
1346,3,262500
1347,3,283463
1348,3,215000
1349,4,122000
1350,6,200000
1351,4,171000
1352,2,134900
1353,4,410000
1354,3,235000
1355,4,170000
1356,3,110000
1357,3,149900
1358,3,177500
1359,3,315000
1360,4,189000
1361,3,260000
1362,4,104900
1363,3,156932
1364,2,144152
1365,3,216000
1366,3,193000
1367,4,127000
1368,1,144000
1369,3,232000
1370,2,105000
1371,3,165500
1372,3,274300
1373,2,466500
1374,3,250000
1375,3,239000
1376,2,91000
1377,3,117000
1378,2,83000
1379,3,167500
1380,2,58500
1381,4,237500
1382,4,157000
1383,3,112000
1384,2,105000
1385,3,125500
1386,5,250000
1387,5,136000
1388,3,377500
1389,3,131000
1390,3,235000
1391,4,124000
1392,3,123000
1393,3,163000
1394,2,246578
1395,4,281213
1396,3,160000
1397,4,137500
1398,3,138000
1399,3,137450
1400,3,120000
1401,3,193000
1402,2,193879
1403,3,282922
1404,3,105000
1405,2,275000
1406,2,133000
1407,3,112000
1408,3,125500
1409,3,215000
1410,3,230000
1411,3,140000
1412,2,90000
1413,2,257000
1414,4,207000
1415,1,175900
1416,4,122500
1417,3,340000
1418,3,124000
1419,3,223000
1420,3,179900
1421,2,127500
1422,1,136500
1423,4,274970
1424,2,144000
1425,3,142000
1426,3,271000
1427,3,140000
1428,2,119000
1429,3,182900
1430,4,192140
1431,2,143750
1432,4,64500
1433,3,186500
1434,3,160000
1435,3,174000
1436,3,120500
1437,2,394617
1438,2,149700
1439,3,197000
1440,3,191000
1441,1,149300
1442,3,310000
1443,2,121000
1444,3,179600
1445,3,129000
1446,3,157900
1447,3,240000
1448,2,112000
1449,1,92000
1450,4,136000
1451,3,287090
1452,2,145000
1453,3,84500
1454,2,185000
1455,3,175000
1456,3,210000
1457,4,266500
1458,2,142125
1459,3,147500
