,GrLivArea,BedroomAbvGr,SalePrice
192,1431,3,192000
193,1709,3,130000
194,864,3,127000
195,1456,3,148500
196,1726,3,311872
197,3112,4,235000
198,2229,5,104000
199,1713,3,274900
200,1121,2,140000
201,1279,3,171500
202,1310,2,112000
203,848,1,149000
204,1284,2,110000
205,1442,3,180500
206,1696,3,143900
207,1100,3,141000
208,2062,3,277000
209,1092,3,145000
210,864,2,98000
211,1212,3,186000
212,1852,3,252678
213,990,3,156000
214,1392,3,161750
215,1236,2,134450
216,1436,3,210000
217,1328,3,107000
218,1954,3,311500
219,1248,2,167240
220,1498,2,204900
221,2267,4,200000
222,1552,3,179900
223,864,2,97000
224,2392,3,386250
225,1302,3,112000
226,2520,4,290000
227,987,2,106000
228,912,3,125000
229,1555,2,192500
230,1194,3,148000
231,2794,4,403000
232,987,2,94500
233,894,3,128200
234,1960,4,216500
235,987,2,89500
236,1414,3,185500
237,1744,3,194500
238,1694,3,318000
239,1487,3,113000
240,1566,3,262500
241,866,2,110500
242,1440,3,79000
243,1217,3,120000
244,2110,3,205000
245,1872,3,241500
246,1928,4,137000
247,1375,2,140000
248,1668,3,180000
249,2144,4,277000
250,1306,3,76500
251,1625,2,235000
252,1640,3,173000
253,1302,3,158000
254,1314,3,145000
255,2291,4,230000
256,1728,3,207500
257,1604,3,220000
258,1792,3,231500
259,882,2,97000
260,1382,3,176000
261,2574,3,276000
262,1212,3,151000
263,1316,3,130000
264,764,2,73000
265,1422,3,175500
266,1511,3,185000
267,2192,4,179500
268,778,2,120500
269,1113,3,148000
270,1939,3,266000
271,1363,2,241500
272,2270,4,290000
273,1632,3,139000
274,816,2,124500
275,1548,3,205000
276,1560,3,201000
277,864,2,141000
278,2121,3,415298
279,2022,4,192000
280,1982,3,228500
281,1262,2,185000
282,1314,2,207500
283,1468,3,244600
284,1575,2,179200
285,1250,2,164700
286,1734,3,159000
287,858,3,88000
288,900,3,122000
289,1396,3,153575
290,1919,3,233230
291,1716,6,135900
292,1716,3,131000
293,2263,3,235000
294,1644,3,167000
295,1003,3,142500
296,1558,4,152000
297,1950,3,239000
298,1743,3,175000
299,1152,3,158500
300,1336,2,157000
301,2452,4,267000
302,1541,3,205000
303,894,3,149900
304,3493,3,295000
305,2000,3,305900
306,2243,4,225000
307,1406,3,89500
308,861,1,82500
309,1944,3,360000
310,1501,3,165600
311,972,2,132000
312,1118,3,119900
313,2036,3,375000
314,1641,3,178000
315,1432,3,188500
316,2353,4,260000
317,1959,3,270000
318,2646,4,260000
319,1472,3,187500
320,2596,4,342643
321,2468,4,354000
322,2730,4,301000
323,1163,3,126175
324,2978,5,242000
325,803,2,87000
326,1719,1,324000
327,1383,3,145250
328,2134,5,214500
329,1192,3,78000
330,1728,6,119000
331,1056,3,139000
332,1629,3,284000
333,1358,2,207000
334,1638,3,192000
335,1786,3,228950
336,1922,3,377426
337,1536,3,214000
338,1621,3,202500
339,1215,3,155000
340,1908,4,202900
341,841,2,82000
342,1040,2,87500
343,1684,2,266000
344,1112,3,85000
345,1577,3,140200
346,958,2,151500
347,1478,3,157500
348,1626,2,154000
349,2728,4,437154
350,1869,2,318061
351,1453,2,190000
352,1111,3,95000
353,720,2,105900
354,1595,2,140000
355,1200,3,177500
356,1167,3,173000
357,1142,3,134000
358,1352,3,130000
359,1924,3,280000
360,912,2,156000
361,1505,3,145000
362,1922,4,198500
363,987,2,118000
364,1574,3,190000
365,1344,3,147000
366,1394,3,159000
367,1431,3,165000
368,1268,2,132000
369,1287,3,162000
370,1664,3,172400
371,1588,4,134432
372,752,2,125000
373,1319,3,123000
374,1928,4,219500
375,904,1,61000
376,914,2,148000
377,2466,4,340000
378,1856,1,394432
379,1800,3,179000
380,1691,3,127000
381,1301,2,187750
382,1797,3,213500
383,784,2,76000
384,1953,3,240000
385,1269,2,192000
386,1184,5,81000
387,1125,3,125000
388,1479,3,191000
389,2332,3,426000
390,1367,4,119000
391,1961,3,215000
392,882,3,106500
393,788,2,100000
394,1034,2,109000
395,1144,3,129000
396,894,2,123000
397,1812,4,169500
398,1077,2,67000
399,1550,2,241000
400,1288,1,245500
401,1310,3,164990
402,672,2,108000
403,2263,4,258000
404,1572,3,168000
405,1620,3,150000
406,1639,3,115000
407,1680,4,177000
408,2172,3,280000
409,2078,3,339750
410,1276,3,60000
411,1056,3,145000
412,1478,2,222000
413,1028,2,115000
414,2097,3,228000
415,1340,3,181134
416,1400,3,149500
417,2624,4,239000
418,1134,3,126000
419,1056,3,142000
420,1344,2,206300
421,1602,3,215000
422,988,2,113000
423,2630,4,315000
424,1196,2,139000
425,1389,3,135000
426,1644,2,275000
427,907,3,109008
428,1208,2,195400
429,1412,3,175000
430,987,2,85400
431,1198,4,79900
432,1365,2,122500
433,1604,3,181000
434,630,1,81000
435,1661,3,212000
436,1118,2,116000
437,904,2,119000
438,694,2,90350
439,1196,3,110000
440,2402,2,555000
441,1440,4,118000
442,1573,3,162900
443,1258,2,172500
444,1908,4,210000
445,1689,3,127500
446,1888,2,190000
447,1886,4,199900
448,1376,3,119500
449,1183,2,120000
450,813,2,110000
451,1533,2,280000
452,1756,3,204000
453,1590,3,210000
454,1728,4,188000
455,1242,3,175500
456,1344,4,98000
457,1663,2,256000
458,1666,3,161000
459,1203,3,110000
460,1935,3,263435
461,1135,3,155000
462,864,3,62383
463,1660,3,188700
464,1040,3,124000
465,1414,2,178740
466,1277,2,167000
467,1644,3,146500
468,1634,3,250000
469,1710,3,187000
470,1502,1,212000
471,1969,3,190000
472,1072,2,148000
473,1976,2,440000
474,1652,2,251000
475,970,2,132500
476,1493,3,208900
477,2643,3,380000
478,1718,3,297000
479,1131,2,89471
480,1850,3,326000
481,1792,2,374000
482,1826,4,155000
483,1216,2,164000
484,999,3,132500
485,1113,3,147000
486,1073,3,156000
487,1484,3,175000
488,2414,3,160000
489,630,1,86000
490,1304,3,115000
491,1578,3,133000
492,1456,3,172785
493,1269,3,155000
494,886,2,91300
495,720,2,34900
496,3228,4,430000
497,1820,4,184000
498,899,3,130000
499,912,2,120000
500,1218,3,113000
501,1768,3,226700
502,1214,2,140000
503,1801,1,289000
504,1322,3,147000
505,1960,4,124500
506,1911,3,215000
507,1218,2,208300
508,1378,3,161000
509,1041,3,124500
510,1363,2,164900
511,1368,2,202665
512,864,3,129900
513,1080,3,134000
514,789,2,96500
515,2020,3,402861
516,2119,3,158000
517,2344,3,265000
518,1796,3,211000
519,2080,3,234000
520,1294,3,106250
521,1244,3,150000
522,1664,3,159000
523,4676,3,184750
524,2398,3,315750
525,1266,3,176000
526,928,2,132000
527,2713,3,446261
528,605,2,86000
529,2515,4,200624
530,1509,3,175000
531,1362,3,128000
532,827,2,107500
533,334,1,39300
534,1414,3,178000
535,1347,3,107500
536,1724,3,188000
537,864,3,111250
538,1159,3,158000
539,1601,3,272000
540,1838,2,315000
541,2285,4,248000
542,1680,3,213250
543,767,1,133000
544,1496,3,179665
545,2183,4,229000
546,1635,3,210000
547,768,2,129500
548,825,2,125000
549,2094,4,263000
550,1069,2,140000
551,928,3,112500
552,1717,3,255500
553,1126,2,108000
554,2046,3,284000
555,1048,2,113000
556,1092,2,141000
557,1336,3,108000
558,1446,3,175000
559,1557,2,234000
560,1392,3,121500
561,1389,2,170000
562,996,3,108000
563,1674,4,185000
564,2295,4,268000
565,1647,4,128000
566,2504,4,325000
567,1535,3,214000
568,2132,1,316600
569,943,2,135960
570,1728,6,142600
571,864,2,120000
572,1692,3,224500
573,1430,3,170000
574,1109,3,139000
575,1216,2,118500
576,1477,3,145000
577,1320,3,164500
578,1392,2,146000
579,1795,4,131500
580,1429,3,181900
581,2042,3,253293
582,816,3,118500
583,2775,3,325000
584,1573,3,133000
585,2028,2,369900
586,838,2,130000
587,860,2,137000
588,1473,1,143000
589,935,2,79500
590,1582,3,185900
591,2296,3,451950
592,816,2,138000
593,848,1,140000
594,924,3,110000
595,1826,3,319000
596,1368,3,114504
597,1402,2,194201
598,1647,3,217500
599,1556,3,151000
600,1904,3,275000
601,1375,3,141000
602,1915,3,220000
603,1200,2,151000
604,1494,3,221000
605,1986,3,205000
606,1040,3,152000
607,2008,3,225000
608,3194,4,359100
609,1029,3,118500
610,2153,3,313000
611,1032,3,148000
612,1872,3,261500
613,1120,3,147000
614,630,1,75500
615,1054,3,137500
616,1509,3,183200
617,832,2,105500
618,1828,3,314813
619,2262,4,305000
620,864,2,67000
621,2614,4,240000
622,980,3,135000
623,1512,2,168500
624,1790,4,165150
625,1116,3,160000
626,1422,3,139900
627,1520,3,153000
628,2080,5,135000
629,1350,3,168500
630,1750,3,124000
631,1554,2,209500
632,1411,3,82500
633,1056,3,139400
634,1056,0,144000
635,3395,8,200000
636,800,1,60000
637,1387,3,93000
638,796,2,85000
639,1567,1,264561
640,1518,1,274000
641,1929,3,226000
642,2704,4,345000
643,1620,4,152000
644,1766,2,370878
645,981,3,143250
646,1048,3,98300
647,1094,3,155000
648,1839,4,155000
649,630,1,84500
650,1665,3,205950
651,1510,4,108000
652,1716,2,191000
653,1469,3,135000
654,2113,2,350000
655,1092,3,88000
656,1053,3,145500
657,1502,3,149000
658,1458,3,97500
659,1486,3,167000
660,1935,3,197900
661,2448,4,402000
662,1392,2,110000
663,1181,3,137500
664,2097,1,423000
665,1936,3,230500
666,2380,3,129000
667,1679,3,193500
668,1437,3,168000
669,1180,2,137500
670,1476,3,173500
671,1369,3,103600
672,1208,3,165000
673,1839,3,257500
674,1136,3,140000
675,1441,3,148500
676,1774,4,87000
677,792,2,109500
678,2046,3,372500
679,988,3,128500
680,923,2,143000
681,1520,3,159434
682,1291,2,173000
683,1668,3,285000
684,1839,4,221000
685,2090,3,207500
686,1761,3,227875
687,1102,2,148800
688,1419,2,392000
689,1362,2,194700
690,848,1,141000
691,4316,4,755000
692,2519,4,335000
693,1073,2,108480
694,1539,3,141500
695,1137,2,176000
696,616,2,89000
697,1148,2,123500
698,894,3,138500
699,1391,2,196000
700,1800,3,312500
701,1164,3,140000
702,2576,4,361919
703,1812,4,140000
704,1484,3,213000
705,1092,3,55000
706,1824,2,302000
707,1324,2,254000
708,1456,3,179540
709,904,3,109900
710,729,2,52000
711,1178,2,102776
712,1228,2,189000
713,960,3,129000
714,1479,3,130500
715,1350,3,165000
716,2554,3,159500
717,1178,3,157000
718,2418,3,341000
719,971,3,128500
720,1742,2,275000
721,848,1,143000
722,864,3,124500
723,1470,4,135000
724,1698,3,320000
725,864,3,120500
726,1680,3,222000
727,1232,2,194500
728,1776,4,110000
729,1208,2,103000
730,1616,2,236500
731,1146,3,187500
732,2031,3,222500
733,1144,3,131400
734,948,3,108000
735,1768,2,163000
736,1040,2,93500
737,1801,3,239900
738,1200,3,179000
739,1728,3,190000
740,1432,2,132000
741,912,3,142000
742,1349,3,179000
743,1464,3,175000
744,1337,2,180000
745,2715,4,299800
746,2256,4,236000
747,2640,4,265979
748,1720,3,260400
749,1529,4,98000
750,1140,3,96500
751,1320,3,162000
752,1494,3,217000
753,2098,3,275500
754,1026,3,156000
755,1471,3,172500
756,1768,3,212000
757,1386,3,158900
758,1501,3,179400
759,2531,4,290000
760,864,2,127500
761,1301,2,100000
762,1547,3,215200
763,2365,3,337000
764,1494,2,270000
765,1506,2,264132
766,1714,3,196500
767,1750,4,160000
768,1836,3,216837
769,3279,4,538000
770,858,2,134900
771,1220,2,102000
772,1117,3,107000
773,912,2,114500
774,1973,3,395000
775,1204,2,162000
776,1614,3,221500
777,894,3,142500
778,2020,4,144000
779,1004,2,135000
780,1253,3,176000
781,1603,3,175900
782,1430,3,187100
783,1110,1,165500
784,1484,3,128000
785,1342,3,161500
786,1652,4,139000
787,2084,4,233000
788,901,2,107900
789,2087,5,187500
790,1145,2,160200
791,1062,3,146800
792,2013,3,269790
793,1496,3,225000
794,1895,3,194500
795,1564,3,171000
796,1285,3,143500
797,773,2,110000
798,3140,4,485000
799,1768,3,175000
800,1688,4,200000
801,1196,2,109900
802,1456,3,189000
803,2822,4,582933
804,1128,2,118000
805,1428,3,227680
806,980,3,135500
807,1576,3,223500
808,1086,3,159950
809,2138,2,106000
810,1309,3,181000
811,848,1,144500
812,1044,2,55993
813,1442,4,157900
814,1250,3,116000
815,1661,3,224900
816,1008,2,137000
817,1689,3,271000
818,1052,3,155000
819,1358,2,224000
820,1640,3,183000
821,936,2,93000
822,1733,3,225000
823,1489,3,139500
824,1489,3,232600
825,2084,2,385000
826,784,2,109500
827,1434,3,189000
828,2126,3,185000
829,1223,2,147400
830,1392,3,166000
831,1200,2,151000
832,1829,3,237000
833,1516,3,167000
834,1144,3,139950
835,1067,2,128000
836,1559,2,153500
837,987,2,100000
838,1099,3,144000
839,1200,3,130500
840,1482,4,140000
841,1539,3,157500
842,1165,3,174900
843,1800,6,141000
844,1416,4,153900
845,1701,3,171000
846,1775,3,213000
847,864,3,133500
848,2358,5,240000
849,1855,3,187000
850,848,1,131500
851,1456,2,215000
852,1646,4,164000
853,1445,3,158000
854,1779,3,170000
855,1040,3,127000
856,1026,3,147000
857,1481,3,174000
858,1370,3,152000
859,2654,4,250000
860,1426,3,189950
861,1039,3,131500
862,1097,3,152000
863,1148,3,132500
864,1372,3,250580
865,1002,3,148500
866,1646,3,248900
867,1120,3,129000
868,2320,2,169000
869,1949,3,236000
870,894,2,109500
871,1682,3,200500
872,910,3,116000
873,1268,3,133000
874,1131,3,66500
875,2610,4,303477
876,1040,3,132250
877,2224,4,350000
878,1155,3,148000
879,864,3,136500
880,1090,2,157000
881,1717,3,187500
882,1593,3,178000
883,2230,5,118500
884,892,3,100000
885,1709,2,328900
886,1712,4,145000
887,1393,3,135500
888,2217,4,268000
889,1505,2,149500
890,924,3,122900
891,1683,3,172500
892,1068,3,154500
893,1383,3,165000
894,1535,4,118858
895,1796,4,140000
896,951,2,106500
897,2240,6,142953
898,2364,2,611657
899,1236,3,135000
900,858,2,110000
901,1306,2,153000
902,1509,3,180000
903,1670,3,240000
904,902,3,125500
905,1063,3,128000
906,1636,3,255000
907,2057,3,250000
908,902,2,131000
909,1484,3,174000
910,2274,5,154300
911,1268,3,143500
912,1015,3,88000
913,2002,4,145000
914,1224,2,173733
915,1092,3,75000
916,480,1,35311
917,1229,3,135000
918,2127,4,238000
919,1414,3,176500
920,1721,3,201000
921,2200,4,145900
922,1316,3,169990
923,1617,2,193000
924,1686,3,207500
925,1126,3,175000
926,2374,4,285000
927,1978,4,176000
928,1788,3,236500
929,2236,4,222000
930,1466,3,201000
931,925,2,117500
932,1905,3,320000
933,1500,3,190000
934,2069,4,242000
935,747,1,79900
936,1200,2,184900
937,1971,3,253000
938,1962,3,239799
939,2403,4,244400
940,1728,4,150900
941,2060,3,214000
942,1440,4,150000
943,1632,4,143000
944,1344,3,137500
945,1869,2,124900
946,1144,3,143000
947,1629,3,270000
948,1776,3,192500
949,1381,3,197500
950,864,3,129000
951,965,3,119900
952,768,2,133900
953,1968,4,172000
954,980,4,127500
955,1958,4,145000
956,1229,2,124000
957,1057,3,132000
958,1337,3,185000
959,1416,3,155000
960,858,2,116500
961,2872,4,272000
962,1548,3,155000
963,1800,2,239000
964,1894,4,214900
965,1484,3,178900
966,1308,2,160000
967,1098,3,135000
968,968,2,37900
969,1095,2,140000
970,1192,4,135000
971,1626,2,173000
972,918,2,99500
973,1428,3,182000
974,2019,3,167500
975,1382,3,165000
976,869,2,85500
977,1241,1,199900
978,894,3,110000
979,1121,3,139000
980,999,3,178400
981,2612,4,336000
982,1266,2,159895
983,2290,4,255900
984,1734,4,126000
985,1164,3,125000
986,1635,2,117000
987,1940,3,395192
988,2030,4,195000
989,1576,3,197000
990,2392,3,348000
991,1742,4,168000
992,1851,3,187000
993,1500,3,173900
994,1718,3,337500
995,1230,3,121600
996,1050,3,136500
997,1442,2,185000
998,1077,3,91000
999,1208,2,206000
1000,944,2,82000
1001,691,2,86000
1002,1574,3,232000
1003,1680,4,136905
1004,1504,1,181000
1005,985,3,149900
1006,1657,3,163500
1007,1092,3,88000
1008,1710,3,240000
1009,1522,4,102000
1010,1271,4,135000
1011,1664,4,100000
1012,1502,3,165000
1013,1022,2,85000
1014,1082,2,119200
1015,1665,3,227000
1016,1504,3,203000
1017,1360,1,187500
1018,1472,3,160000
1019,1506,2,213490
1020,1132,2,176000
1021,1220,2,194000
1022,1248,2,87000
1023,1504,2,191000
1024,2898,2,287000
1025,882,3,112500
1026,1264,3,167500
1027,1646,3,293077
1028,1376,3,105000
1029,1218,3,118000
1030,1928,5,160000
1031,3082,5,197000
1032,2520,5,310000
1033,1654,3,230000
1034,954,2,119750
1035,845,3,84000
1036,1620,2,315500
1037,2263,3,287000
1038,1344,3,97000
1039,630,1,80000
1040,1803,3,155000
1041,1632,4,173000
1042,1306,1,196000
1043,2329,4,262280
1044,2524,4,278000
1045,1733,4,139600
1046,2868,4,556581
1047,990,3,145000
1048,1771,3,115000
1049,930,2,84900
1050,1302,3,176485
1051,1316,3,200141
1052,1977,4,165000
1053,1526,4,144500
1054,1989,3,255000
1055,1523,3,180000
1056,1364,2,185850
1057,1850,3,248000
1058,2184,3,335000
1059,1991,3,220000
1060,1338,2,213500
1061,894,2,81000
1062,2337,5,90000
1063,1103,2,110500
1064,1154,3,154000
1065,2260,3,328000
1066,1571,3,178000
1067,1611,4,167900
1068,2521,5,151400
1069,893,2,135000
1070,1048,3,135000
1071,1556,4,154000
1072,1456,4,91500
1073,1426,3,159500
1074,1240,2,194000
1075,1740,3,219500
1076,1466,3,170000
1077,1096,3,138800
1078,848,1,155900
1079,990,3,126000
1080,1258,3,145000
1081,1040,3,133000
1082,1459,3,192000
1083,1251,3,160000
1084,1498,3,187500
1085,996,2,147000
1086,1092,3,83500
1087,1953,3,252000
1088,1709,3,137500
1089,1247,1,197000
1090,1040,2,92900
1091,1252,2,160000
1092,1694,4,136500
1093,1200,1,146000
1094,936,2,129000
1095,1314,3,176432
1096,1355,3,127000
1097,1088,2,170000
1098,1324,3,128000
1099,1601,3,157000
1100,438,1,60000
1101,950,3,119500
1102,1134,2,135000
1103,1194,3,159500
1104,1302,3,106000
1105,2622,3,325000
1106,1442,3,179900
1107,2021,3,274725
1108,1690,3,181000
1109,1836,3,280000
1110,1658,3,188000
1111,1964,4,205000
1112,816,2,129900
1113,1008,2,134500
1114,833,2,117000
1115,1734,3,318000
1116,1419,3,184100
1117,894,3,130000
1118,1601,3,140000
1119,1040,3,133700
1120,1012,2,118400
1121,1552,3,212900
1122,960,3,112000
1123,698,2,118000
1124,1482,3,163900
1125,1005,2,115000
1126,1555,2,174000
1127,1530,3,259000
1128,1959,4,215000
1129,936,2,140000
1130,1981,4,135000
1131,974,3,93500
1132,2210,5,117500
1133,2020,3,239500
1134,1600,3,169000
1135,986,2,102000
1136,1252,3,119000
1137,1020,2,94000
1138,1567,2,196000
1139,1167,3,144000
1140,952,2,139000
1141,1868,4,197500
1142,2828,4,424870
1143,1006,3,80000
1144,924,2,80000
1145,1576,3,149000
1146,1298,3,180000
1147,1564,3,174500
1148,1111,2,116900
1149,1482,3,143000
1150,932,2,124000
1151,1466,3,149900
1152,1811,2,230000
1153,816,2,120500
1154,1820,4,201800
1155,1437,3,218000
1156,1265,3,179900
1157,1314,2,230000
1158,1580,3,235128
1159,1876,4,185000
1160,1456,3,146000
1161,1640,3,224000
1162,894,3,129000
1163,1258,0,108959
1164,1432,2,194000
1165,1502,3,233170
1166,1694,3,245350
1167,1671,3,173000
1168,2108,4,235000
1169,3627,4,625000
1170,1118,3,171000
1171,1261,3,163000
1172,1250,2,171900
1173,3086,3,200500
1174,2345,4,239000
1175,2872,4,285000
1176,923,3,119500
1177,1224,3,115000
1178,1343,3,154900
1179,1124,3,93000
1180,2514,4,250000
1181,1652,2,392500
1182,4476,4,745000
1183,1130,2,120000
1184,1572,3,186700
1185,1221,4,104900
1186,1699,3,95000
1187,1624,2,262000
1188,1660,3,195000
1189,1804,3,189000
1190,1622,3,168000
1191,1441,2,174000
1192,1472,3,125000
1193,1224,2,165000
1194,1352,4,158000
1195,1456,3,176000
1196,1863,4,219210
1197,1690,3,144000
1198,1212,3,178000
1199,1382,3,148000
1200,864,3,116050
1201,1779,3,197900
1202,1348,3,117000
1203,1630,3,213000
1204,1074,3,153500
1205,2196,3,271900
1206,1056,2,107000
1207,1700,3,200000
1208,1283,3,140000
1209,1660,3,290000
1210,1845,3,189000
1211,1752,4,164000
1212,672,2,113000
1213,960,0,145000
1214,999,3,134500
1215,894,3,125000
1216,1902,4,112000
1217,1314,3,229456
1218,912,2,80500
1219,1218,3,91500
1220,912,2,115000
1221,1211,3,134000
1222,1846,3,143000
1223,2136,4,137900
1224,1490,3,184000
1225,1138,3,145000
1226,1933,4,214000
1227,912,2,147000
1228,1702,1,367294
1229,1507,4,127000
1230,2620,4,190000
1231,1190,3,132500
1232,1224,2,101800
1233,1188,3,142000
1234,1964,4,130000
1235,1784,4,138887
1236,1626,2,175500
1237,1948,4,195000
1238,1141,3,142500
1239,1484,2,265900
1240,1768,3,224900
1241,1689,3,248328
1242,1173,3,170000
1243,2076,2,465000
1244,1517,3,230000
1245,1868,3,178000
1246,1553,3,186500
1247,1034,3,169900
1248,2058,3,129500
1249,988,3,119000
1250,2110,3,244000
1251,1405,2,171750
1252,874,3,130000
1253,2167,3,294000
1254,1656,3,165400
1255,1367,3,127500
1256,1987,2,301500
1257,864,2,99900
1258,1166,2,190000
1259,1054,3,151000
1260,1675,3,181000
1261,1050,2,128900
1262,1788,5,161500
1263,1824,3,180500
1264,1337,2,181000
1265,1452,3,183900
1266,1889,4,122000
1267,2018,3,378500
1268,3447,4,381000
1269,1524,3,144000
1270,1524,0,260000
1271,1489,3,185750
1272,935,3,137000
1273,1357,2,177000
1274,1250,3,139000
1275,1920,4,137000
1276,1395,3,162000
1277,1724,3,197900
1278,2031,3,237000
1279,1128,2,68400
1280,1573,3,227000
1281,1339,2,180000
1282,1040,3,150500
1283,1824,4,139000
1284,2447,4,169000
1285,1412,4,132500
1286,1328,3,143000
1287,1582,4,190000
1288,1659,2,278000
1289,1970,3,281000
1290,1152,3,180500
1291,1302,3,119500
1292,2372,4,107500
1293,1664,4,162900
1294,864,2,115000
1295,1052,3,138500
1296,1128,3,155000
1297,1072,2,140000
1298,5642,3,160000
1299,1246,3,154000
1300,1983,3,225000
1301,1494,3,177500
1302,2526,4,290000
1303,1616,3,232000
1304,1708,3,130000
1305,1652,2,325000
1306,1368,2,202500
1307,990,3,138000
1308,1122,2,147000
1309,1294,3,179200
1310,1902,3,335000
1311,1274,3,203000
1312,2810,4,302000
1313,2599,4,333168
1314,948,3,119000
1315,2112,4,206900
1316,1630,3,295493
1317,1352,2,208900
1318,1787,3,275000
1319,948,3,111000
1320,1478,3,156500
1321,720,2,72500
1322,1923,3,190000
1323,708,2,82500
1324,1795,2,147000
1325,796,2,55000
1326,774,3,79000
1327,816,3,130500
1328,2792,5,256000
1329,1632,3,176500
1330,1588,3,227000
1331,954,3,132500
1332,816,2,100000
1333,1360,2,125500
1334,1365,3,125000
1335,1334,2,167900
1336,1656,4,135000
1337,693,2,52500
1338,1861,3,200000
1339,864,3,128500
1340,872,3,123000
1341,1114,3,155000
1342,2169,3,228500
1343,1913,3,177000
1344,1456,3,155835
1345,960,2,108500
1346,2156,3,262500
1347,1776,3,283463
1348,1494,3,215000
1349,2358,4,122000
1350,2634,6,200000
1351,1716,4,171000
1352,1176,2,134900
1353,3238,4,410000
1354,1865,3,235000
1355,1920,4,170000
1356,892,3,110000
1357,1078,3,149900
1358,1573,3,177500
1359,1980,3,315000
1360,2601,4,189000
1361,1530,3,260000
1362,1738,4,104900
1363,1412,3,156932
1364,1200,2,144152
1365,1674,3,216000
1366,1790,3,193000
1367,1475,4,127000
1368,848,1,144000
1369,1668,3,232000
1370,1374,2,105000
1371,1661,3,165500
1372,2097,3,274300
1373,2633,2,466500
1374,1958,3,250000
1375,1571,3,239000
1376,790,2,91000
1377,1604,3,117000
1378,987,2,83000
